zcta,year,merge_key,number_of_households,household_median_income_1yr,household_mean_income_1yr,number_of_rent_home,median_rent,number_of_owned_home,median_home_value,population_25_and_over,less_than_9th_grade,9th_to_12th_grade,high_school_graduate,some_college_no_degree,associates_degree,bachelors_degree,graduate_or_professional_degree,total_population,pct_children_teens_5-19,pct_young_adults_20-34,pct_middle_aged_35-59,pct_older_adults_60+,housing_units,pct_1_person,pct_2_person,pct_3_person,pct_4_or_more_person
10001,2023,2023_10001,15097,123393,205444,11399,3024,3570,793000,22724,2.11230417180074,5.034324942791762,8.638443935926773,9.51417004048583,3.1992606935398697,41.47157190635451,30.029924309100508,29079,10.653736373327831,20.898242718112726,41.91684720932632,20.898242718112726,15097,55.01092932370669,29.297211366496654,9.518447373650394,6.1734119361462545
10002,2023,2023_10002,35771,46525,93314,28916,1207,6660,808500,59418,13.788750883570636,15.215927833316504,17.7235854454879,10.347032885657544,3.970177387323707,26.54246188023831,12.412063684405398,75517,11.974787134022801,15.850735595958525,33.39380536832766,32.45361971476621,35771,44.22297391741914,33.21126051829694,12.521316149953874,10.044449414330044
10003,2023,2023_10003,25080,153750,248577,16196,2772,8701,1137000,36544,2.9827057793345007,1.3134851138353765,4.802429947460595,6.170643607705779,2.53119527145359,44.72964098073555,37.469899299474605,53825,17.103576405016256,25.62935438922434,30.918718067812353,21.935903390617742,25080,53.33732057416268,32.14912280701754,10.07177033492823,4.441786283891547
10004,2023,2023_10004,1775,220592,309645,1145,3501,630,1866400,3010,0.53156146179402,0.3654485049833887,1.6611295681063123,6.378737541528238,0.1661129568106312,42.62458471760797,48.27242524916944,3875,11.561290322580646,16.07741935483871,48.10322580645161,14.09032258064516,1775,40.33802816901408,30.366197183098592,15.71830985915493,13.577464788732394
10005,2023,2023_10005,5156,211810,279387,4276,3501,880,1387200,7325,0.8873720136518772,1.665529010238908,5.870307167235495,6.484641638225256,0.832764505119454,50.55290102389078,33.70648464163823,9238,5.877895648408747,35.57046979865772,45.60510933102403,9.092877246157176,5156,53.31652443754849,31.40031031807603,7.059736229635376,8.223429014740109
10006,2023,2023_10006,2305,209972,235292,1880,3501,402,1125700,3465,0.0,0.0,4.704184704184704,8.253968253968253,2.1645021645021645,43.26118326118326,41.61616161616162,4475,16.29050279329609,23.64245810055866,50.74860335195531,6.569832402234637,2305,54.40347071583515,32.92841648590022,4.989154013015185,7.678958785249458
10007,2023,2023_10007,3309,250001,512350,2140,3501,1159,2000001,5618,0.9433962264150944,1.4417942328230686,5.74937700249199,4.538981844072624,0.9611961552153792,52.26059095763617,34.10466358134568,7802,12.522430146116381,19.23865675467829,48.65419123301717,11.63804152781338,3309,35.44877606527652,29.37443336355394,15.35207011181626,19.82472045935328
10009,2023,2023_10009,30025,87963,134024,26968,1925,2687,690600,47633,7.047635042932421,5.638947788298029,11.032267545609136,9.75794092330947,3.892259567946592,38.12692880985871,24.50402032204564,58341,8.008090365266279,19.720265336555766,37.553350131125626,29.576112853739225,30025,49.32889258950874,29.08243130724396,15.213988343047461,6.3746877601998335
10010,2023,2023_10010,16192,156127,253684,11531,3113,4453,1037900,23770,0.9465713083718972,2.3559108119478336,6.360959192259149,7.240218763146823,2.5788809423643246,45.620530079932685,34.89692890197728,31905,14.251684688920232,19.683435198244787,36.276445698166434,24.228177401661185,16192,51.27223320158103,32.719861660079054,7.559288537549406,8.448616600790514
10011,2023,2023_10011,28277,146571,238674,17645,2868,10180,1165800,41026,2.1084190513333008,2.359479354555648,6.807877931068103,7.207624433286208,2.320479695802661,39.96490030712231,39.23121922683176,49344,9.251378080415046,17.144941634241246,35.967898832684824,33.85214007782101,28277,59.88612653393217,27.605474413834564,7.203734483856137,5.3046645683771265
10012,2023,2023_10012,11909,130938,219222,9273,2731,2562,1500000,17230,1.9616947185142195,2.08357515960534,4.892629135229251,5.96053395240859,1.845618107951248,49.55890887986071,33.697040046430644,21846,6.362720864231438,26.554060239860846,41.67811040922824,21.143458756751805,11909,54.5049962213452,31.052145436224706,8.850449240070535,5.59240910235956
10013,2023,2023_10013,12609,159474,385678,8500,2378,3723,2000001,21815,5.175338070135228,5.762090304836122,8.833371533348613,6.655970662388265,1.5264726105890445,44.79944991977997,27.24730689892276,28215,11.458444090023036,17.579301789828108,39.99291157185894,24.58266879319511,12609,35.625346974383376,34.118486795146325,14.973431675787136,15.282734554683163
10014,2023,2023_10014,17682,167254,276638,12138,2998,5052,1294200,25727,0.4780969409569712,0.629688653943328,4.773195475570413,8.034360788276908,1.1971858358922534,50.044700120495975,34.84277218486415,29772,5.9519011151417445,21.557167808679296,40.97474136772807,27.707241703614134,17682,55.808166497002595,33.361610677525164,5.706368057912001,5.12385476756023
10016,2023,2023_10016,30164,153065,217368,21593,3321,8345,928400,43154,1.3023126477267462,1.6522222737173842,6.265931315752884,7.359688557260045,1.7634518237011634,41.47240116791027,40.183992213931504,54297,6.882516529458349,29.905887986444924,38.24704863988802,19.5056817135385,30164,55.184988728285376,31.97188701763692,8.503514122795385,4.339610131282323
10017,2023,2023_10017,9529,132518,182585,6519,2980,2914,808200,13266,1.5302276496306346,1.9523594150459824,3.9499472335293233,6.701341775968642,0.5804311774461027,40.999547715965626,44.286145032413685,14985,3.029696363029696,21.96196196196196,40.35368702035369,31.197864531197865,9529,59.848882359114285,33.26686955609193,4.008815195718333,2.8754328890754537
10018,2023,2023_10018,4901,133042,219569,4310,3501,580,947100,7458,3.392330383480826,4.532046124966479,7.642799678197908,6.181281844998659,3.0839367122552965,41.65996245642263,33.5076427996782,8764,7.816065723413966,25.251026928343222,43.94112277498859,19.64856230031949,4901,53.56049785758008,34.319526627218934,8.018771679249133,4.101203835951846
10019,2023,2023_10019,26900,121835,198898,20933,2619,5813,1066100,39679,1.0761359913304267,1.3105168981073112,8.092441845812646,7.265808110083419,4.71786083318632,42.34985760729857,35.18737871418131,44276,3.372029993676032,17.66645586773873,42.73195410606198,31.138765922847593,26900,58.4907063197026,31.301115241635685,6.754646840148699,3.4535315985130115
10020,2023,2023_10020,0,-666666666,-666666666,0,-666666666,0,-666666666,0,,,,,,,,0,0.0,0.0,0.0,0.0,0,,,,
10021,2023,2023_10021,20319,156712,279563,10859,3002,9165,1529600,31592,0.5001266143327424,1.604836667510762,5.681818181818182,9.033932641174982,2.560774879716384,39.22828564193467,41.39022537351228,39479,12.051977000430607,13.128498695509006,36.105271156817544,30.000759897667113,20319,45.2581327821251,32.791968108666765,12.062601505979625,9.887297603228506
10022,2023,2023_10022,18627,171038,283490,9085,2928,9017,1116700,29095,1.213266884344389,0.6702182505585152,6.221000171850834,6.801855989001547,1.495102251245919,37.59065131465887,46.00790513833992,34340,7.845078625509609,11.406523005241702,35.00873616773442,35.32032615026208,18627,49.00413378429162,34.82042196811081,9.615074891286842,6.560369356310732
10023,2023,2023_10023,36881,157866,255254,21747,3050,14576,1401800,53645,0.9320533134495292,1.200484667722994,5.7302637710877065,5.672476465653835,2.173548326964302,38.11725230683195,46.17392114828968,67468,12.583743404280547,10.06551253927788,36.89600996027747,32.969704156044344,36881,52.338602532469295,30.818036387299692,8.375586345272634,8.467774734958379
10024,2023,2023_10024,29447,182614,311852,17906,2965,11398,1746400,50060,2.311226528166201,0.8749500599280863,4.696364362764682,5.966839792249301,1.9396723931282465,34.942069516580105,49.26887734718338,62576,11.063346970084377,8.349846586550754,39.06449757095372,31.476924060342625,29447,40.662885862736445,33.840459129962305,11.260909430502258,14.235745576798994
10025,2023,2023_10025,41029,109195,187891,27491,2009,12584,1125200,70984,3.805082835568579,4.085427702017356,9.757128366955934,10.619294488898907,2.9443254817987152,28.93046320297532,39.85827792178519,93223,11.841498342683673,19.15728951009944,30.893663580875963,31.0524226853888,41029,41.82651295425187,33.537254137317504,14.116844183382485,10.519388725048136
10026,2023,2023_10026,15537,74140,126720,11544,1546,3574,1014100,27341,3.807468636845763,6.499396510734794,19.183643612157567,13.082915767528618,3.9062214256976704,27.336234958487253,26.184119088548336,37113,14.601352625764559,16.306954436450837,42.055344488454175,20.731280144423785,15537,42.2797193795456,28.8601403102272,15.678702452210851,13.181437858016348
10027,2023,2023_10027,24509,64220,116529,20284,1609,3846,915000,42572,5.7925396974537255,7.570703748942967,18.4064643427605,12.635065301136898,3.772432584797519,24.96006765009865,26.862726674809736,65068,18.731173541525788,21.3714882891744,33.38507407635089,19.762402409786684,24509,42.7638826553511,30.156269125627322,13.435880696886857,13.643967522134727
10028,2023,2023_10028,24901,168125,282107,15112,2702,9447,1600400,37523,1.2898755430002933,0.3011486288409775,4.767742451296538,7.859179703115422,2.539775604296032,33.68067585214402,49.56160221730672,45679,11.020381356859826,12.01427351737122,36.36682063968125,32.77436020928654,24901,48.1546925826272,31.569013292638846,10.650174691779446,9.6261194329545
10029,2023,2023_10029,33098,38308,79430,30292,1183,2304,818100,54112,12.682953873447664,9.00724423418096,23.593657599053813,14.49031638083974,4.571998817267889,20.16558249556476,15.48824659964518,74848,15.40588926891834,15.413905515177426,34.757107738349724,26.581872595126125,33098,45.76409450722098,27.814369448305033,14.985799746208231,11.435736298265756
10030,2023,2023_10030,13180,42738,80313,11298,1204,1754,810100,22234,12.184042457497526,10.24107223171719,22.344157596473867,14.689214716200413,5.595034631645228,19.258792839794907,15.687685526670863,30781,14.466716480946037,15.64601539910984,36.665475455638216,25.369546148598165,13180,48.08801213960546,23.62670713201821,15.629742033383915,12.655538694992414
