,ttl_acai_shop,ttl_afghani_restaurant,ttl_african_restaurant,ttl_american_restaurant,ttl_amusement_center,ttl_art_gallery,ttl_asian_grocery_store,ttl_asian_restaurant,ttl_athletic_field,ttl_auditorium,ttl_bagel_shop,ttl_bakery,ttl_banquet_hall,ttl_bar,ttl_bar_and_grill,ttl_barbecue_area,ttl_barbecue_restaurant,ttl_body_art_service,ttl_book_store,ttl_bowling_alley,ttl_brazilian_restaurant,ttl_breakfast_restaurant,ttl_brunch_restaurant,ttl_buffet_restaurant,ttl_cafe,ttl_cafeteria,ttl_candy_store,ttl_cat_cafe,ttl_catering_service,ttl_chinese_restaurant,ttl_chocolate_shop,ttl_clothing_store,ttl_coffee_shop,ttl_comedy_club,ttl_concert_hall,ttl_confectionery,ttl_consultant,ttl_convenience_store,ttl_dance_hall,ttl_deli,ttl_dessert_restaurant,ttl_dessert_shop,ttl_diner,ttl_dog_cafe,ttl_donut_shop,ttl_event_venue,ttl_extended_stay_hotel,ttl_farm,ttl_fast_food_restaurant,ttl_fine_dining_restaurant,ttl_fitness_center,ttl_florist,ttl_food_court,ttl_food_delivery,ttl_food_store,ttl_french_restaurant,ttl_garden,ttl_gift_shop,ttl_greek_restaurant,ttl_grocery_store,ttl_gym,ttl_hamburger_restaurant,ttl_health,ttl_historical_landmark,ttl_historical_place,ttl_home_goods_store,ttl_hospital,ttl_hotel,ttl_ice_cream_shop,ttl_indian_restaurant,ttl_indonesian_restaurant,ttl_insurance_agency,ttl_internet_cafe,ttl_italian_restaurant,ttl_japanese_restaurant,ttl_juice_shop,ttl_karaoke,ttl_korean_restaurant,ttl_lawyer,ttl_lebanese_restaurant,ttl_library,ttl_liquor_store,ttl_lodging,ttl_market,ttl_meal_delivery,ttl_meal_takeaway,ttl_mediterranean_restaurant,ttl_mexican_restaurant,ttl_middle_eastern_restaurant,ttl_movie_theater,ttl_museum,ttl_night_club,ttl_park,ttl_parking,ttl_performing_arts_theater,ttl_pizza_restaurant,ttl_place_of_worship,ttl_pub,ttl_ramen_restaurant,ttl_resort_hotel,ttl_sandwich_shop,ttl_seafood_restaurant,ttl_spa,ttl_spanish_restaurant,ttl_sporting_goods_store,ttl_sports_activity_location,ttl_sports_club,ttl_sports_complex,ttl_steak_house,ttl_store,ttl_supermarket,ttl_sushi_restaurant,ttl_tea_house,ttl_thai_restaurant,ttl_tourist_attraction,ttl_turkish_restaurant,ttl_vegan_restaurant,ttl_vegetarian_restaurant,ttl_veterinary_care,ttl_video_arcade,ttl_vietnamese_restaurant,ttl_wedding_venue,ttl_wellness_center,ttl_wholesaler,ttl_wine_bar,ttl_yoga_studio,EXPENSIVE,INEXPENSIVE,MODERATE,rent,rent_change,yr,is_gentrified
10001,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,4.0,0.0,65.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,8.0,1.0,9.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,12.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,8.0,17.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,8.0,1.0,8.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,7.0,2.0,4.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,7.0,0.0,10.0,4.0,0.0,5.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,5.0,18.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,17.0,25.0,90.0,4870.677598322123,0.2052859742337394,2022,False
10002,0.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,15.0,0.0,57.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,19.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,8.0,1.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,10.0,2.0,0.0,0.0,12.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,12.0,32.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,6.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,6.0,2.0,8.0,0.0,1.0,0.0,17.0,1.0,0.0,0.0,5.0,0.0,4.0,4.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,33.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,8.0,0.0,0.0,4.0,0.0,0.0,2.0,10.0,0.0,12.0,62.0,75.0,3554.7963257755114,0.2449912354222874,2022,True
10003,1.0,0.0,0.0,15.0,0.0,0.0,1.0,12.0,0.0,2.0,3.0,9.0,2.0,64.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,10.0,11.0,0.0,31.0,0.0,3.0,0.0,3.0,13.0,3.0,0.0,20.0,0.0,2.0,11.0,0.0,0.0,0.0,1.0,3.0,11.0,4.0,0.0,1.0,8.0,0.0,0.0,4.0,6.0,1.0,0.0,0.0,15.0,35.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,21.0,19.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,15.0,5.0,9.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,12.0,1.0,8.0,5.0,0.0,11.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,37.0,1.0,3.0,8.0,12.0,0.0,0.0,8.0,11.0,0.0,0.0,4.0,2.0,1.0,1.0,7.0,1.0,25.0,68.0,108.0,3941.807688793188,0.25650280388409374,2022,True
10004,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,11.0,3946.666520612603,0.044438536423470065,2022,False
10005,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,4275.182474893424,0.21798870264454928,2022,False
10006,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3999.544297365381,0.05843201356995742,2022,False
10007,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,17.0,6262.193043551306,0.7840830012793587,2022,True
10009,0.0,0.0,0.0,11.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,12.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,8.0,5.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,7.0,6.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,4.0,41.0,53.0,3596.662496093257,0.2579143867862317,2022,True
10010,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,18.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,9.0,30.0,4532.236080331894,0.19929923973370922,2022,False
10011,0.0,0.0,0.0,16.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0,12.0,0.0,39.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,0.0,12.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,6.0,4.0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,6.0,24.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,9.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,0.0,13.0,31.0,62.0,4630.159986021793,0.22445337381246255,2022,True
